customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Segment,EstimatedCLV,AvgChargesPerMonth,TenureCategory,TotalServices,HasFamily,HighValueCustomer,ContractRisk,PaymentRisk,CustomerSegment,RiskScore,RiskLevel
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,Low (≤$35),29.85,29.85,New (≤1 year),2,1,0,3,3,Economy New,21,High Risk
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,Medium ($35-65),1936.3000000000002,55.5735294117647,Medium (1-3 years),4,0,0,2,2,Medium-term,11,Low Risk
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,Medium ($35-65),107.7,54.075,New (≤1 year),4,0,0,3,2,Economy New,19,High Risk
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,Medium ($35-65),1903.4999999999998,40.90555555555556,Long-term (>3 years),4,0,0,2,1,Economy Long-term,9,Low Risk
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,High ($65-95),141.4,75.825,New (≤1 year),2,0,0,3,3,Economy New,22,High Risk
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,Very High (>$95),797.2,102.5625,New (≤1 year),5,0,1,3,3,Premium New,19,High Risk
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,High ($65-95),1960.1999999999998,88.60909090909091,Medium (1-3 years),4,1,0,3,1,Medium-term,12,Medium Risk
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,Low (≤$35),297.5,30.189999999999998,New (≤1 year),2,0,0,3,2,Economy New,18,High Risk
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Very High (>$95),2934.4,108.78750000000001,Medium (1-3 years),6,1,1,3,3,Medium-term,15,Medium Risk
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,Medium ($35-65),3481.2999999999997,56.25725806451613,Long-term (>3 years),4,1,0,2,1,Economy Long-term,8,Low Risk
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,Medium ($35-65),649.35,45.18846153846154,Medium (1-3 years),3,1,0,3,2,Medium-term,15,Medium Risk
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,Low (≤$35),303.2,20.425,Medium (1-3 years),1,0,0,1,1,Medium-term,10,Low Risk
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Very High (>$95),5820.299999999999,97.95,Long-term (>3 years),5,1,1,2,1,Premium Long-term,8,Low Risk
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Very High (>$95),5081.3,102.78163265306122,Long-term (>3 years),6,0,1,3,1,Premium Long-term,12,Medium Risk
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Very High (>$95),2637.5,107.44200000000001,Medium (1-3 years),7,0,1,3,3,Medium-term,16,Medium Risk
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Very High (>$95),7814.25,114.42246376811593,Long-term (>3 years),8,1,1,1,1,Premium Long-term,5,Low Risk
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,Low (≤$35),1073.8,19.672115384615385,Long-term (>3 years),1,0,0,2,2,Economy Long-term,14,Medium Risk
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Very High (>$95),7575.7,103.97535211267606,Long-term (>3 years),6,1,1,1,1,Premium Long-term,5,Low Risk
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,Medium ($35-65),552.0,52.835,New (≤1 year),4,1,0,3,1,Economy New,14,Medium Risk
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,High ($65-95),1891.05,88.70952380952382,Medium (1-3 years),5,0,1,3,3,Medium-term,17,Medium Risk
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Medium ($35-65),39.65,39.65,New (≤1 year),3,0,0,3,3,Economy New,24,High Risk
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,Low (≤$35),237.60000000000002,16.854166666666668,New (≤1 year),1,1,0,2,1,Economy New,14,Medium Risk
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,Low (≤$35),20.15,20.15,New (≤1 year),1,0,0,3,2,Economy New,22,High Risk
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Medium ($35-65),3474.2,60.432758620689654,Long-term (>3 years),4,1,0,1,1,Economy Long-term,5,Low Risk
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Medium ($35-65),2920.4,60.61836734693878,Long-term (>3 years),5,1,0,3,1,Economy Long-term,11,Low Risk
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Medium ($35-65),1659.0,51.019999999999996,Medium (1-3 years),4,0,0,3,1,Medium-term,12,Medium Risk
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Very High (>$95),4669.45,101.04574468085106,Long-term (>3 years),5,1,1,3,3,Premium Long-term,15,Medium Risk
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,Low (≤$35),30.2,30.2,New (≤1 year),2,1,0,3,3,Economy New,21,High Risk
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,High ($65-95),6498.0,88.46458333333334,Long-term (>3 years),8,1,1,1,1,Premium Long-term,5,Low Risk
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Medium ($35-65),1099.9,64.3,Medium (1-3 years),4,1,0,3,2,Medium-term,14,Medium Risk
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Very High (>$95),6840.849999999999,95.30915492957746,Long-term (>3 years),6,1,1,1,1,Premium Long-term,7,Low Risk
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Very High (>$95),191.0,90.825,New (≤1 year),5,1,1,3,1,Premium New,18,High Risk
